,Titles,Scores,title_keywords
0,Which changes in model organisms associated with ageing also change in a similar way in humans?,4,"[('ageing change', 0.9184), ('model organisms', 0.8843), ('humans', 0.8803), ('similar way', 0.8727), ('associated', 0.8409)]"
1,Can we come up with better markers that represent ageing changes in mice that are measurable in human samples (not restricted to blood)?,4,"[('mice measurable', 0.9102), ('better markers', 0.89), ('human samples', 0.8858), ('ageing changes', 0.8826), ('come', 0.8211)]"
2,Which cellular changes that contribute to ageing originate from within the cell? ,4,"[('ageing originate', 0.9413), ('contribute ageing', 0.9243), ('cellular changes', 0.9084), ('originate cell', 0.8926), ('contribute', 0.8494)]"
3,Are there are specific tissues or cell types that have a bigger contribution to ageing?,4,"[('contribution ageing', 0.908), ('specific tissues', 0.8929), ('cell', 0.8541), ('bigger', 0.8497), ('types', 0.8456)]"
4,Can we apply stem cell therapy based on our own young stem cells (from cord blood)?,4,"[('stem cells', 0.9073), ('cord blood', 0.8881), ('young', 0.8602), ('therapy based', 0.8585), ('apply', 0.8476)]"
5,"What ageing-related processes cannot be targeted by lifestyle interventions, where do we need pharmacological interventions?",4,"[('targeted lifestyle', 0.9007), ('ageing related', 0.8961), ('need pharmacological', 0.8865), ('interventions', 0.8733), ('processes', 0.8409)]"
6,"Will therapies based on young cells work in an aged niche/environment, what is the contribution of the systemic environment on the success?",4,"[('young cells', 0.8992), ('therapies based', 0.8978), ('aged niche', 0.8887), ('systemic environment', 0.8656), ('success', 0.8321)]"
7,Which cellular and molecular changes primary contribute to ageing? ,4,"[('contribute ageing', 0.9287), ('molecular changes', 0.8955), ('primary', 0.8658), ('cellular', 0.8628)]"
8,"What do the current (epigenetic) clocks measure, i.e. which cellular/molecular processes do they represent? ",4,"[('epigenetic clocks', 0.9348), ('current epigenetic', 0.9224), ('measure cellular', 0.8844), ('current', 0.8822), ('processes represent', 0.876)]"
9,Is there a limited number of common triggers for age-related diseases? ,4,"[('common triggers', 0.9216), ('triggers age', 0.9175), ('age related', 0.9015), ('diseases', 0.8881), ('limited number', 0.8342)]"
