,Titles,Scores,title_keywords
0,Which changes in model organisms associated with ageing also change in a similar way in humans?,4,"[('changes', 0.8914), ('similar', 0.8835), ('organisms', 0.879), ('model', 0.8486)]"
1,Can we come up with better markers that represent ageing changes in mice that are measurable in human samples (not restricted to blood)?,4,"[('mice', 0.9037), ('markers', 0.8807), ('blood', 0.8704), ('measurable', 0.8625)]"
2,Which cellular changes that contribute to ageing originate from within the cell? ,4,"[('cellular', 0.8901), ('originate', 0.8806), ('changes', 0.8781), ('contribute', 0.8494)]"
3,Are there are specific tissues or cell types that have a bigger contribution to ageing?,4,"[('tissues', 0.8689), ('contribution', 0.8651), ('specific', 0.8557), ('bigger', 0.8497)]"
4,Can we apply stem cell therapy based on our own young stem cells (from cord blood)?,4,"[('stem', 0.8843), ('young', 0.8602), ('therapy', 0.8502), ('apply', 0.8476), ('based', 0.8425)]"
5,"What ageing-related processes cannot be targeted by lifestyle interventions, where do we need pharmacological interventions?",4,"[('pharmacological', 0.8838), ('lifestyle', 0.8834), ('targeted', 0.8688), ('processes', 0.8409)]"
6,"Will therapies based on young cells work in an aged niche/environment, what is the contribution of the systemic environment on the success?",4,"[('therapies', 0.8904), ('young', 0.8762), ('niche', 0.8675), ('based', 0.8597), ('systemic', 0.8577)]"
7,Which cellular and molecular changes primary contribute to ageing? ,4,"[('changes', 0.8837), ('primary', 0.8658), ('cellular', 0.8628), ('molecular', 0.8459)]"
8,"What do the current (epigenetic) clocks measure, i.e. which cellular/molecular processes do they represent? ",4,"[('clocks', 0.9101), ('epigenetic', 0.9045), ('current', 0.8822), ('measure', 0.8637), ('processes', 0.8591)]"
9,Is there a limited number of common triggers for age-related diseases? ,4,"[('triggers', 0.8893), ('diseases', 0.8881), ('age', 0.8699), ('common', 0.8688), ('related', 0.8511)]"
10,Can we create a framework to start a testing and developing ultimate and proximate evolutionary theories in a systematic way?,4,"[('evolutionary', 0.8741), ('framework', 0.873), ('theories', 0.8669), ('ultimate', 0.8588), ('systematic', 0.8425)]"
11,What outcomes/processes do we want to study using the generated longitudinal deep phenotyped data?,4,"[('phenotyped', 0.892), ('longitudinal', 0.872), ('processes', 0.8686), ('deep', 0.8669), ('data', 0.8663)]"
12,How do we distinguish ageing from disease (if possible)?,4,"[('disease', 0.9047), ('distinguish', 0.8868), ('possible', 0.8404)]"
13,What does the minimal dataset look like that we would need to study the different aspects/trajectories of ageing?,4,"[('minimal', 0.8895), ('dataset', 0.8686), ('trajectories', 0.8506), ('aspects', 0.8415)]"
14,How to measure outcomes and processes (which techniques) to capture different aspects of the ageing process? ,4,"[('processes', 0.8849), ('outcomes', 0.8845), ('measure', 0.872), ('aspects', 0.8653)]"
